S1_RP1Tank_pos_x,S1_RP1Tank_pos_y,S1_RP1Tank_pos_z,S1_RP1Tank_rot_e0,S1_RP1Tank_rot_e1,S1_RP1Tank_rot_e2,S1_RP1Tank_rot_e3
0.002507296922057235256,2.932194528071363493e-06,0.001563477052606980153,0.9999999976303296512,6.483760373480033696e-06,-6.702057558427573585e-05,1.433692010325557915e-05,
0.002496089273005853548,1.760819126950252667e-06,0.001572370467185639368,0.9999999977555802388,1.601594274850256148e-06,-6.696168871346139457e-05,1.552450006428165073e-06,
0.002496526767006709661,-5.553501694066653727e-07,0.001574504391365980863,0.9999999977532775253,1.710852520261897432e-07,-6.703252013954339296e-05,2.464819231333155298e-07,
0.002495924388009098435,5.511556810944284734e-07,0.001577565835413489428,0.9999999977544241636,1.689245895526641253e-06,-6.699437430644376639e-05,-2.366156485655007946e-07,
0.002496684154772387497,-6.549440074721246674e-07,0.001580516869495882538,0.9999999977509176352,2.926779373908809292e-06,-6.70044405323733138e-05,-9.259220937223260245e-08,
0.002496933646072588449,-6.370797951404938431e-07,0.001585110901174451936,0.9999999977383415839,-5.529188772949496902e-07,-6.725314537947671466e-05,1.73708843777822332e-07,
0.002498404115626343645,-5.698473559689887225e-07,0.001587891919147178203,0.9999999977437173948,4.705228629047443324e-07,-6.717385284677943307e-05,1.495095466516503067e-07,
0.002498577105652335061,2.237880725175500629e-08,0.00159068122819445339,0.9999999977362487025,-6.942563632180488987e-07,-6.728072617974168454e-05,-5.738921263546630135e-07,
0.002501458585430625225,-3.72416089966520758e-07,0.001595164851646804337,0.9999999977226633474,1.804121658975597107e-06,-6.746395301513017815e-05,-1.965322905999480324e-07,
0.002502749404209233218,-9.061816363953312248e-07,0.001599447248292160421,0.9999999977183441358,1.08849437753426759e-06,-6.754116164133083648e-05,5.688108655361400757e-07,
0.002505406986867351679,-6.502364389149306589e-07,0.001603581326684237361,0.9999999977344802282,2.103987881742089508e-07,-6.73127095778765542e-05,-2.226156447329277281e-08,
0.002507053145737820222,-1.305478862789755112e-07,0.001607311080015609312,0.9999999977358210446,2.250419121436373049e-06,-6.725431229282883454e-05,-3.971522020774804064e-07,
0.002508169554631146329,-6.28794419199607546e-07,0.001610341607591578772,0.9999999977349215419,2.028287040843825361e-06,-6.727588977251340834e-05,6.782487821005701846e-08,
0.002509811304507534018,4.73053451521820989e-07,0.001614289817233357464,0.9999999977423662534,1.314662717620496795e-06,-6.718026630814554281e-05,-5.982829152397999182e-07,
0.002511295984265284054,1.243244156512446352e-07,0.001616846706708842613,0.9999999977505994453,4.849570800235967151e-07,-6.707138912839317232e-05,5.540196872548773457e-08,
0.002511866616335788581,4.293940314425981342e-08,0.001618646280445310047,0.9999999977537620266,7.186081980656032066e-07,-6.702214395248831289e-05,3.039379872076398145e-08,
0.002512122117397153076,1.60805814441999928e-06,0.00162098628693629703,0.999999997748382996,2.422384843910297899e-06,-6.706191369821989511e-05,2.718918140410680192e-07,
0.002513265464997227125,-1.31844149997561999e-06,0.001624691124637502298,0.999999997748248548,1.167604105249842547e-06,-6.709801716093178779e-05,-5.835074040242137023e-08,
0.00251563383068334305,-1.046193918163851322e-06,0.001628504365499758516,0.9999999977521836225,7.616367521490803991e-07,-6.704507432058105397e-05,-1.327591423419479586e-07,
0.002518260182206007256,-8.163065157162918695e-07,0.001633461777334785413,0.9999999977613419633,5.998247057810123419e-07,-6.690991940550171575e-05,1.618152080520811279e-07,
0.002518666119901278276,1.555519038021202505e-07,0.00163557676478116149,0.9999999977487402658,2.902138614026742545e-07,-6.710019986123749562e-05,6.677795470292567952e-08,
0.002520647857711979991,3.283764611339279327e-06,0.001641856257217212504,0.999999997753051928,6.718903208977254464e-07,-6.702975370793376377e-05,-6.808756889045810223e-07,
0.002521982354284388154,-1.429998467195048306e-06,0.001645261374496354576,0.9999999977552860297,1.466031684753550553e-06,-6.698403821159115278e-05,6.521845748138235676e-07,
0.002521946121577640487,-5.029578272974788433e-06,0.001647536939494980519,0.9999999976867340878,-9.570290083388772247e-06,-6.723119861748391723e-05,3.862043725379354444e-06,
0.002533341630091863819,1.490619403021753442e-06,0.00165225994630202838,0.9999999976070987895,4.204964256132338219e-06,-6.905114514585517383e-05,2.595362259210353284e-07,
0.002526190052656888604,7.822663063983270604e-06,0.001656112793845789183,0.9999999975701209243,1.310201796914027919e-05,-6.801737326094866199e-05,-7.857419442286993767e-06,
